cellline_id,drug_id,ic50_value,cancer_type_id
MC-CAR,Erlotinib,2.453524,3
ES3,Erlotinib,3.376592,3
ES5,Erlotinib,3.614664,3
ES7,Erlotinib,3.223394,3
EW-11,Erlotinib,2.486405,3
SK-ES-1,Erlotinib,2.048918,3
NCI-H1395,Erlotinib,4.198994,1
COLO-829,Erlotinib,3.101688,3
8-MG-BA,Erlotinib,2.580268,3
GB-1,Erlotinib,3.322689,3
U-87-MG,Erlotinib,3.862943,3
NCI-H720,Erlotinib,3.285653,1
NCI-H1648,Erlotinib,-3.132525,1
NCI-H1770,Erlotinib,3.058026,1
NCI-H1838,Erlotinib,2.108617,1
NCI-H2126,Erlotinib,4.009681,1
DMS-114,Erlotinib,3.752587,1
NCI-H1092,Erlotinib,3.435183,1
NCI-H1417,Erlotinib,3.677577,1
NCI-H1694,Erlotinib,3.438432,1
NCI-H187,Erlotinib,3.551168,1
NCI-H1963,Erlotinib,2.519943,1
NCI-H209,Erlotinib,1.595914,1
NCI-H2141,Erlotinib,3.273699,1
NCI-H2171,Erlotinib,2.883782,1
NCI-H2227,Erlotinib,3.575458,1
NCI-H345,Erlotinib,3.894926,1
NCI-H446,Erlotinib,3.22988,1
NCI-H526,Erlotinib,2.605571,1
NCI-H64,Erlotinib,2.194264,1
NCI-H69,Erlotinib,3.454195,1
NCI-H82,Erlotinib,1.649766,1
SK-N-DZ,Erlotinib,2.776635,3
VA-ES-BJ,Erlotinib,3.19593,3
LU-139,Erlotinib,3.900268,1
Calu-6,Erlotinib,3.109938,1
LU-65,Erlotinib,1.944082,1
NCI-H1355,Erlotinib,0.956669,1
SHP-77,Erlotinib,2.618042,1
TE-5,Erlotinib,0.553888,0
HCC1187,Erlotinib,3.189446,1
HCC1599,Erlotinib,3.158802,1
HCC2157,Erlotinib,1.430802,1
HCC2218,Erlotinib,3.390603,1
BB30-HNC,Erlotinib,-1.865082,3
BB49-HNC,Erlotinib,4.022717,3
CP66-MEL,Erlotinib,1.817745,3
CPC-N,Erlotinib,1.55852,1
CTV-1,Erlotinib,2.487077,3
D-542MG,Erlotinib,1.957659,3
DMS-79,Erlotinib,2.187562,1
DSH1,Erlotinib,2.213727,3
EC-GI-10,Erlotinib,2.723788,0
HA7-RCC,Erlotinib,3.446312,2
IM-9,Erlotinib,2.980742,3
IST-SL1,Erlotinib,3.065327,1
IST-SL2,Erlotinib,2.995164,1
LB1047-RCC,Erlotinib,1.069785,2
LB2241-RCC,Erlotinib,-0.035073,2
LB2518-MEL,Erlotinib,1.795692,3
LB373-MEL-D,Erlotinib,2.20911,3
LB647-SCLC,Erlotinib,2.047816,1
LB771-HNC,Erlotinib,1.384855,3
LB831-BLC,Erlotinib,2.199507,3
LB996-RCC,Erlotinib,-1.810062,2
LU-134-A,Erlotinib,3.569571,1
LU-165,Erlotinib,3.937442,1
LXF-289,Erlotinib,2.643914,1
MS-1,Erlotinib,1.762713,1
MZ1-PC,Erlotinib,1.887856,2
MZ7-mel,Erlotinib,3.319675,3
NCI-H128,Erlotinib,4.964977,1
NCI-H510A,Erlotinib,2.765732,1
SK-MM-2,Erlotinib,3.507852,3
TE-15,Erlotinib,0.959552,0
BE2-M17,Erlotinib,2.16145,3
KELLY,Erlotinib,3.005504,3
SIMA,Erlotinib,3.63181,3
TE-1,Erlotinib,-1.404277,0
TE-10,Erlotinib,1.246102,0
TE-8,Erlotinib,1.805941,0
HL-60,Erlotinib,2.987939,3
K-562,Erlotinib,2.514951,3
NCI-H226,Erlotinib,3.250013,1
NCI-H23,Erlotinib,3.333266,1
CCRF-CEM,Erlotinib,2.194633,3
SK-MEL-2,Erlotinib,3.471126,3
MOLT-4,Erlotinib,2.305355,3
SR,Erlotinib,2.698428,3
NCI-H322M,Erlotinib,1.014258,1
EKVX,Erlotinib,-1.05486,1
HCC2998,Erlotinib,3.128316,0
HOP-62,Erlotinib,2.041091,1
LOXIMVI,Erlotinib,2.92665,3
UACC-257,Erlotinib,3.309038,3
RXF393,Erlotinib,3.87406,2
TK10,Erlotinib,-0.268727,2
SNB75,Erlotinib,4.307125,3
SF539,Erlotinib,2.559059,3
SF268,Erlotinib,3.042554,3
KM12,Erlotinib,2.794112,0
OVCAR-4,Erlotinib,0.561025,1
Becker,Erlotinib,1.38884,3
BE-13,Erlotinib,2.469734,3
ARH-77,Erlotinib,2.942912,3
A253,Erlotinib,0.290013,3
ACN,Erlotinib,2.773124,3
COR-L88,Erlotinib,3.53151,1
COLO-824,Erlotinib,3.411709,1
COLO-800,Erlotinib,3.213031,3
Daudi,Erlotinib,2.308671,3
D-283MED,Erlotinib,2.667957,3
DEL,Erlotinib,2.47841,3
DG-75,Erlotinib,3.349333,3
DJM-1,Erlotinib,1.038311,3
DOHH-2,Erlotinib,1.712166,3
DU-4475,Erlotinib,2.592616,1
EB2,Erlotinib,2.826977,3
EB-3,Erlotinib,3.445425,3
ECC12,Erlotinib,-2.286154,0
EHEB,Erlotinib,4.201712,3
EM-2,Erlotinib,3.127495,3
EoL-1-cell,Erlotinib,2.633193,3
ETK-1,Erlotinib,1.201654,3
EVSA-T,Erlotinib,2.677979,1
GCIY,Erlotinib,-0.048492,0
GDM-1,Erlotinib,2.730462,3
GI-1,Erlotinib,2.987478,3
GI-ME-N,Erlotinib,2.642242,3
GOTO,Erlotinib,3.605463,3
GR-ST,Erlotinib,3.678551,3
H9,Erlotinib,1.668525,3
HC-1,Erlotinib,1.796176,3
HD-MY-Z,Erlotinib,2.344785,3
HEL,Erlotinib,0.832639,3
HH,Erlotinib,3.880844,3
HT,Erlotinib,3.096472,3
HT-144,Erlotinib,2.241147,3
HuTu-80,Erlotinib,2.530311,0
IMR-5,Erlotinib,2.579488,3
IST-MEL1,Erlotinib,2.686954,3
IST-MES1,Erlotinib,3.176001,3
JiyoyeP-2003,Erlotinib,2.726708,3
JVM-2,Erlotinib,3.175124,3
JVM-3,Erlotinib,3.33282,3
KALS-1,Erlotinib,2.894932,3
KARPAS-299,Erlotinib,2.71792,3
KARPAS-422,Erlotinib,3.188802,3
KASUMI-1,Erlotinib,3.122252,3
KE-37,Erlotinib,1.986415,3
KG-1,Erlotinib,2.627108,3
KINGS-1,Erlotinib,4.060316,3
KMOE-2,Erlotinib,2.903207,3
KNS-42,Erlotinib,2.296688,3
KU812,Erlotinib,2.88923,3
KS-1,Erlotinib,0.296548,3
KP-N-YN,Erlotinib,0.482342,3
L-428,Erlotinib,3.12245,3
L-540,Erlotinib,2.43651,3
LAMA-84,Erlotinib,2.178744,3
LC-2-ad,Erlotinib,1.177019,1
LC4-1,Erlotinib,3.566701,3
LNCaP-Clone-FGC,Erlotinib,3.666197,1
LOUCY,Erlotinib,2.269758,3
LP-1,Erlotinib,2.540382,3
LS-123,Erlotinib,1.536062,0
LS-411N,Erlotinib,2.549697,0
LS-513,Erlotinib,-0.181512,0
MC116,Erlotinib,0.84268,3
MEG-01,Erlotinib,1.876477,3
MHH-NB-11,Erlotinib,3.472481,3
MHH-PREB-1,Erlotinib,2.894523,3
ML-2,Erlotinib,2.784428,3
MLMA,Erlotinib,2.866552,3
MN-60,Erlotinib,3.552059,3
MONO-MAC-6,Erlotinib,2.643769,3
Mo-T,Erlotinib,3.445988,3
MPP-89,Erlotinib,1.262042,3
MRK-nu-1,Erlotinib,2.835325,1
NAMALWA,Erlotinib,2.37206,3
NB69,Erlotinib,2.064164,3
NCI-SNU-1,Erlotinib,1.536918,0
NCI-SNU-5,Erlotinib,3.406585,0
NCI-SNU-16,Erlotinib,2.370697,0
NH-12,Erlotinib,3.63342,3
NKM-1,Erlotinib,3.159454,3
NMC-G1,Erlotinib,1.014411,3
no-11,Erlotinib,1.82582,3
NOMO-1,Erlotinib,3.348916,3
no-10,Erlotinib,3.462888,3
NCI-H747,Erlotinib,1.215126,0
NCI-H716,Erlotinib,3.852705,0
NCI-H1581,Erlotinib,2.496836,1
NCI-H2081,Erlotinib,3.797949,1
NCI-H2196,Erlotinib,3.400038,1
NCI-H524,Erlotinib,2.899235,1
NCI-H748,Erlotinib,3.832531,1
ONS-76,Erlotinib,2.51326,3
OPM-2,Erlotinib,2.715187,3
OS-RC-2,Erlotinib,-0.391755,2
P30-OHK,Erlotinib,2.611893,3
P31-FUJ,Erlotinib,2.470049,3
OCUB-M,Erlotinib,2.782158,1
PF-382,Erlotinib,2.133734,3
Raji,Erlotinib,3.187128,3
REH,Erlotinib,2.945509,3
RF-48,Erlotinib,3.220978,0
RKO,Erlotinib,2.973703,0
RPMI-6666,Erlotinib,2.260714,3
RS4-11,Erlotinib,2.333492,3
SCH,Erlotinib,3.773537,0
SF126,Erlotinib,3.402226,3
SH-4,Erlotinib,4.149806,3
SIG-M5,Erlotinib,1.315042,3
SJSA-1,Erlotinib,3.176218,3
SK-LMS-1,Erlotinib,3.066911,3
SKM-1,Erlotinib,3.154411,3
SK-MEL-1,Erlotinib,2.31177,3
SK-NEP-1,Erlotinib,2.258333,2
SK-PN-DW,Erlotinib,2.32846,3
SU-DHL-1,Erlotinib,1.897393,3
SUP-T1,Erlotinib,3.075618,3
SW684,Erlotinib,4.329094,3
SW872,Erlotinib,2.551989,3
SW962,Erlotinib,0.959129,3
TGBC1TKB,Erlotinib,3.429603,3
THP-1,Erlotinib,3.032187,3
TUR,Erlotinib,2.934661,3
U-698-M,Erlotinib,1.66181,3
WSU-NHL,Erlotinib,2.576109,3
RCC10RGB,Erlotinib,1.976789,2
KURAMOCHI,Erlotinib,2.618159,1
KM-H2,Erlotinib,2.503836,3
